Age,Gender,Specialization Track,Do you feel that your chosen major suit your academic interests?,Do you feel that your career and academic goals aligned with your chosen major in the CCS BSIT program?,Do you agree that the major subjects in your chosen major contribute in enhancing your back-end skills?,Do you agree that the major subjects in your chosen major contribute in enhancing your front-end skills?,Do you agree that your chosen major helps you in improving your logical thinking and problem solving?,Does your major contribute to your overall learning and skills development?,"Does your major equip you with the necessary soft skills, such as communication and teamwork, essential for success in your chosen field?","Are your satisfied with the availability of resources (such as labs, software, etc.) for your major?",Do you feel that your major prepares you for ongoing advancement and changes within the industry?,"Are you satisfied with the opportunities for professional development, workshops, and seminars offered within your major?"
20,Male,Service Management,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral
21,Female,Service Management,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree
21,Female,Service Management,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral
20,Female,Service Management,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral
20,Male,Web and Mobile Application Development,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
21,Male,Web and Mobile Application Development,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral
21,Male,Web and Mobile Application Development,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree
22,Female,Service Management,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
24,Female,Service Management,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree
20,Female,Service Management,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
20,Female,Web and Mobile Application Development,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
20,Female,Service Management,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
20,Female,Service Management,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral
20,Male,Service Management,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
21,Male,Service Management,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
21,Male,Web and Mobile Application Development,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree
21,Male,Service Management,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
21,Male,Web and Mobile Application Development,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree
21,Male,Web and Mobile Application Development,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree
22,Male,Web and Mobile Application Development,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
22,Male,Web and Mobile Application Development,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree
23,Male,Web and Mobile Application Development,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
21,Male,Web and Mobile Application Development,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
21,Female,Service Management,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral
22,Male,Service Management,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree
21,Male,Service Management,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree
21,Female,Web and Mobile Application Development,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
21,Male,Web and Mobile Application Development,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree
23,Male,Web and Mobile Application Development,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
21,Male,Web and Mobile Application Development,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree
